obs,中文名,英文名,评分,评价数,近期售出数,价格,种类,葡萄品种,年份,COO原产地,级别,酒精度,容量,香味分类,色泽,酒体,口感分类,建议醒酒时间,搭配菜肴,品鉴,商品ID
1,"
								拉菲传奇波尔多干红葡萄酒(又名：传奇波尔多红葡萄酒)",Legende Bordeaux Red,"
												90%
										",1329,近期售出数 426239,60,"
											红葡萄酒 干红","
											40%赤霞珠(Cabernet Sauvignon)、60%梅洛(merlot)","
											0000","
											法国(France) 波尔多(Bordeaux)","
											波尔多法定产区 A.O.C","
											12-13.5%(不同年份不同批次，度数不同)","
											750ml","
											浆果味和甘草味","
											深红宝石色","
											中","
											平衡","
											30分钟","
											红肉类食物","
											9个月",5186561
2,"
								赵薇斯奈哈克城堡干红葡萄酒2010",Chateau Senailhac 2010,"
												90%
										",128,近期售出数 49652,165,"
											红葡萄酒 干红","
											60%梅洛，35%赤霞珠，5%马尔贝克",  ,"
											其他 其他",  ,"
											14%","
											750 ml","
											成熟草莓，白胡椒，甘草","
											红宝石","
											中","
											饱满","
											伯恩女性葡萄酒竞赛金奖","
											红肉，烤类白肉",  ,6215843
3,"
								恋曲甜起泡葡萄酒",M Cavatina Premium Moscato,"
												90%
										",111,近期售出数 28659,98,"
											起泡酒 甜起泡酒","
											100%麝香葡萄(Moscato)",  ,"
											意大利(Italy) 其他","
											NV","
											7.0%","
											750ML","
											花香、蜂蜜、金银花","
											稻草黄","
											中","
											清雅","
											即开即饮","
											海鲜、甜点","
											无",5197970
4,"
								奥希耶徽纹红葡萄酒（又名奥希耶微纹红葡萄酒）（拉菲罗斯柴尔德集团荣誉出品）",Blason D Aussieres Lafite DBR,"
												100%
										",44,近期售出数 14964,89,"
											红葡萄酒 干红","
											西拉/设拉子(Syrah/Shiraz),歌海娜(Grenache/Granacha),慕尔怀特(Mourvedre),佳丽酿(Carignan)","
											2010","
											法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
											AOC","
											14.0%","
											750ml","
											具有香料和芬芳植物的典型复杂气味。","
											宝石红色","
											中高","
											饱满","
											30分钟","
											烤肉、牛排","
											9个月",5197538
5,"
								美景湾赤霞珠红葡萄酒",Rio Bueno Cabernet Sauvignon,"
												80%
										",283,近期售出数 47244,59,"
											红葡萄酒 干红","
											100%赤霞珠(Cabernet Sauvignon)","
											0000","
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											13.0%","
											750ml","
											成熟水果香气","
											宝石红色","
											中高","
											圆润","
											30分钟","
											禽肉类、烧烤、牛排以及奶酪",  ,12684
6,"
								拉菲华诗歌赤霞珠红葡萄酒（又名：巴斯克干红葡萄酒）（拉菲集团出品）",Los Vascos Cabernet Sauvignon Domaines Barons de Rothschild,"
												90%
										",136,近期售出数 30413,65,"
											红葡萄酒 干红","
											卡本妮苏维翁(Cabernet Sauvignon)","
											0000","
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											14.0%","
											750ml","
											黑梅、樱桃","
											深紫色","
											中高","
											饱满","
											60分钟","
											红肉类食物","
											无",5145971
7,"
								干露红魔鬼梅洛红葡萄酒",Casillero del Diablo Merlot,"
												80%
										",175,近期售出数 13062,49,"
											红葡萄酒 干红","
											100%梅洛(merlot)","
											0000","
											智利(Chile) 中央山谷(Central Valley)",  ,"
											13.5%","
											750ml","
											具黑色李子、香烟及草本植物的香味","
											深红色","
											中高","
											圆润","
											30分钟","
											适宜与鸡肉、火腿、清淡奶酪、意大利调味饭及意大利面食配蘑菇酱一起食用","
											8-12个月",5150840
8,"
								旭日之吻干红葡萄酒 6支装",  ,"
												100%
										",52,近期售出数 624,119,"
																红葡萄酒 干红","
																100%丹魄（Tempranillo)",  ,"
																西班牙(Spain) 其他","
																VDLT","
																11%vol","
																750ml","
																黑醋栗，樱桃，香草","
																宝石色，泛紫红色","
																中高","
																圆润","
																15-20分钟","
																奶酪、肉类","
																无",6231010
9,"
								美景湾珍藏佳美娜红葡萄酒",Rio Bueno Reserve Carmenere,"
												80%
										",232,近期售出数 10663,69,"
											红葡萄酒 干红","
											100%佳美娜(Carmenere)","
											0000","
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											14.0%","
											750ml","
											李子、青椒、巧克力和一丝烟草香味","
											深紫红色","
											中高","
											饱满","
											30分钟","
											禽肉类、烧烤、牛排以及奶酪","
											8个月",12687
10,"
								旭日之吻干红葡萄酒",DATO DEL VINO,"
												70%
										",2,近期售出数 5989,39,"
											红葡萄酒 干红","
											100%丹魄（Tempranillo)",  ,"
											西班牙(Spain) 其他","
											VDLT","
											11%vol","
											750ml","
											黑醋栗，樱桃，香草","
											宝石色，泛紫红色","
											中高","
											圆润","
											15-20分钟","
											奶酪、肉类","
											无",6230948
11,"
								蒙特斯欧法西拉",Montes Alpha Syrah,"
												90%
										",236,近期售出数 3071,159,"
											红葡萄酒 干红","
											90%西拉(syrah)、7%赤霞珠(Cabernet Sauvignon)、3%维欧尼(Viognier)","
											0000","
											智利(Chile) 中央山谷(Central Valley)",  ,"
											14.5%","
											750ml","
											花香、烟草和皮革","
											深宝石红色","
											重","
											饱满","
											2008年份获Wine Advocate  评分：91分  2009年份获Wine Advocate  评分：91分  ","
											烤肉、野味、禽类、比萨和意大利面","
											12个月",15805
12,"
								干露红魔鬼卡本妮苏维翁红葡萄酒-6支装（又名：干露红魔鬼赤霞珠红葡萄酒）",  ,"
												90%
										",123,近期售出数 9222,278,"
																红葡萄酒 干红","
																100%卡本妮苏维翁(Cabernet Sauvignon)","
																0000","
																智利(Chile) 中央山谷(Central Valley)",  ,"
																13.5%","
																750ml","
																带成熟樱桃、黑醋栗及黑李子味","
																明亮的梅红色","
																中高","
																饱满","
																每年在世界各地举办的品酒比赛中获奖无数。红魔鬼系列现已成为了最受欢迎的葡萄酒之一，其去年更成为了英超曼联队的官方合作伙伴。在去年的世界十大葡萄酒品牌中，干露酒厂位列世界第二。近几十年来，在西方国家更是成为了万圣节的必备单品之一。","
																适宜与红肉、羊羔肉、意大利面食配红酱、肉菜饭及瑞士格里尔干奶酪一起食用","
																8个月",5166071
13,"
								美景湾家族珍藏佳美娜赤霞珠红葡萄酒",Rio Bueno Family Rerverve Carmenere  Cabernet Sauvignon,"
												80%
										",291,近期售出数 11105,98,"
											红葡萄酒 干红","
											60%佳美娜(Carmenere)、40%赤霞珠(Cabernet Sauvignon)","
											0000","
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											14.5%","
											750ml","
											黑色水果、香料、橡木香味","
											深宝石红色","
											重","
											饱满","
											30分钟","
											禽肉类、烧烤、牛排、菌菇以及奶酪","
											12个月",12689
14,"
								黄尾袋鼠霞多丽白葡萄酒",Yellow Tail Chardonnay,"
												100%
										",86,近期售出数 6329,43,"
											白葡萄酒 半干白","
											100%霞多丽（Chardonnay）","
											0000","
											澳大利亚(Australia) 新南威尔士(New South Wales)",  ,"
											13.5%","
											750ml","
											香草 椰子 ","
											淡黄","
											中","
											圆润","
											15分钟","
											意大利面、鸡肉",  ,5283
15,"
								恋爱季甜白高泡葡萄酒（又名：万多·恋爱季低醇起泡白葡萄酒）",stagione vino spumante,"
												90%
										",293,近期售出数 33271,39,"
											起泡酒 甜起泡酒","
											麝香(Muscat/Moscato),马尔瓦西(Malvasia)",  ,"
											意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)",  ,"
											6%vol","
											750ml","
											水果味和花香味，菠萝 蜜瓜  蜂蜜 雏菊的清雅香气","
											甜白","
											轻",  ,  ,  ,  ,5199368
16,"
								泥房子中奧塔哥黑比诺红葡萄酒（原泥房子天鹅系列）",Mud House Central Otago Pinot Noir,"
												80%
										",332,近期售出数 12568,128,"
											红葡萄酒 干红","
											100%黑皮诺(Pinot Noir)",  ,"
											新西兰(New Zealand) 中奥塔哥(Central Otago)","
											新西兰优质酒庄","
											14.0%","
											750ml","
											樱桃","
											深宝石红","
											中",  ,"
											2010 旧金山年国家葡萄酒大赛 银奖2009 悉尼国际葡萄酒大赛  蓝金奖2009 国际葡萄酒与烈酒大赛 银奖（最佳经典葡萄酒）2009 国家葡萄酒挑战大赛 银奖","
											香酥鸭、烤鹌鹑、叉烧肉、烤三文鱼、烤金枪鱼和烤甜菜根等","
											法国橡木桶10个月",5194964
17,"
								永恒之约特酿干红葡萄酒-6支装",  ,"
												90%
										",105,近期售出数 9995,229,"
																红葡萄酒 干红","
																60%赤霞珠(Cabernet Sauvignon)40%梅洛(Merlot)","
																0000","
																法国(France) 波尔多(Bordeaux)","
																日常餐酒V.D.T","
																12.0%","
																750ml","
																黑梅 樱桃等成熟水果的混合香味","
																深紫色","
																中高","
																清雅","
																30分钟","
																清淡的奶酪与肉类菜肴",  ,14503
18,"
								法特勒什酒庄桃红葡萄酒",DOMAINE FONTARECHE IGP Rose,"
												80%
										",13,近期售出数 877,153.4,"
											桃红葡萄酒 干型桃红","
											55%歌海娜(Grenache),45%西拉(Syrah)","
											2011","
											法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
											法国朗格多克地区餐酒V.D.P","
											13.5%","
											750ml","
											野桑莓和绿色植物的芳香","
											清澈的石榴粉红色","
											中低","
											清雅","
											即开即饮","
											开胃酒，冷盘，沙拉，猪肉，鸡肉","
											无",5163483
19,"
								芭蒂莫斯卡托甜白起泡葡萄酒（又名：铂芳莫斯卡托甜白起泡葡萄酒）",CHARMAT PLATINO MOS BLCO,"
												90%
										",93,近期售出数 7727,69,"
											起泡酒 甜起泡酒","
											麝香(Muscat/Moscato)",  ,"
											西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)",  ,"
											0.07","
											750ml","
											荔枝，蜂蜜","
											浅草黄色","
											中","
											清雅","
											即开即饮","
											作为开胃酒及搭配甜点口味更佳",  ,6228552
20,"
								欧洲王子莱茵堡起泡葡萄酒",Schloss Rheinberg Sekt Trocken,"
												100%
										",7,近期售出数 123,228,"
											起泡酒 干起泡酒","
											施埃博(Scheurebe),米勒图高(Muller-Thurgau)",  ,"
											德国(Germany) 莱茵高(Rheingau)","
											德国优质酒庄","
											11.0%","
											750ml","
											柑橘、桃花","
											浅金黄色调","
											轻","
											圆润","
											即开即饮","
											适合与多数菜肴搭配，如生蚝、烤三文鱼等海鲜。","
											无",5197316
21,"
								图尔巴酒庄赤霞珠干红葡萄酒",Tulbagh Winery Cabernet Sauvignon,"
												100%
										",5,近期售出数 165,88,"
											红葡萄酒 干红","
											赤霞珠(Cabernet Sauvignon)","
											2009","
											南非(South Africa) 西开普产地(Western Cape)","
											南非优质酒庄","
											13.0%","
											750ml","
											黑浆果、一点点摩卡","
											深紫色","
											中高","
											平衡","
											30分钟","
											红肉类食物",  ,5189067
22,"
								杜萨斯城堡干红葡萄酒（中级庄）",CHATEAU TROUSSAS,"
												100%
										",0,近期售出数 1317,1999,"
											红葡萄酒 干红","
											赤霞珠，梅乐",  ,"
											法国(France) 波尔多(Bordeaux)","
											中级庄","
											12.5%","
											750","
											成熟的果香、烧烤及可可烘烤香气","
											深红色",  ,  ,"
											30分钟","
											肉类、芝士","
											9-12个月",6229798
23,"
								奔富9赤霞珠红葡萄酒 6支整箱装 750ML*6（奔富BIN9）",Penfolds BIN9,"
												100%
										",2,近期售出数 37,1149,"
																红葡萄酒 干红","
																赤霞珠(Cabernet Sauvignon)",  ,"
																澳大利亚(Australia) 其他",  ,"
																14.5%vol","
																750ml",  ,  ,"
																重","
																饱满",  ,  ,  ,6232549
24,"
								*弗尔拉德宫老藤优质雷司令白葡萄酒*",Weingut SCHLOSS VOLLRADS RIESLING Qualitatswein trocken Alte Reben,"
												100%
										",5,近期售出数 122,799,"
											白葡萄酒 半干白","
											100%雷司令(Riesling)",  ,"
											德国(Germany) 莱茵高(Rheingau)","
											QbA","
											0.13","
											750ml","
											香气复杂，带有雷司令特有的矿物质芳香，口感充满了成熟的黄色水果的风味，如布拉斯李子、杏等，但是又夹杂一丝丝香草的味道。回味悠长而浓郁。","
											淡黄色","
											中低","
											清爽","
											Gault Milau, 87分                             Falstaff,85分","
											可搭配各种不同风味的食物，不管是加了不同酱料的猪肉、鸡肉，还是米饭或者面，都能让你有别样的感觉。","
											无",6230620
25,"
								波尔多侯爵-6支装",  ,"
												100%
										",5,近期售出数 7349,1068,"
																红葡萄酒 干红","
																65% merlot, 35% Cabernet Franc",  ,"
																法国(France) 波尔多(Bordeaux)",  ,"
																13.5%","
																750 ml","
																红色水果香气，黑莓，樱桃，黑加仑等","
																深红色","
																中高","
																平衡","
																世界顶级侍酒师Olivier Poussier鼎力推荐","
																红烧肉，羊排，牛肉等","
																9个月",6225514
26,"
								蓝猫爱之湾甜蜜组合—2支",  ,"
												100%
										",32,近期售出数 287,178,"
																起泡酒 甜起泡酒","
																丹魄(Tempranillo),莫斯卡托(Moscatel)","
																0000","
																西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","
																德国优质半甜白葡萄酒","
																7.0%","
																750ml","
																花香和果香","
																覆盆子色","
																中低","
																清爽","
																即开即饮","
																甜点","
																无",6229155
27,"
								双狮男爵特选干红葡萄酒6只装",  ,"
												100%
										",0,近期售出数 6,159,"
																其他 其他",  ,  ,"
																其他 其他",  ,  ,"
																750ml",  ,  ,  ,"
																圆润",  ,  ,  ,6233976
28,"
								莎普蒂尔圣约瑟夫格兰帝干红葡萄酒",M Chapoutier Saint Joseph Les Granilities biodynamic,"
												100%
										",6,近期售出数 277,589,"
											红葡萄酒 干红","
											100%希拉(Syrah)","
											2012","
											法国(France) 罗纳河谷(Rhone Valley)","
											圣约瑟夫AOC","
											13.0%","
											750ml","
											果香","
											深红色","
											中高","
											饱满","
											30分钟","
											炖羊肉、牛排、北京烤鸭",  ,5195542
29,"
								黄尾袋鼠幕斯卡白葡萄酒  6支整箱装 750ml*6",Yellow Tail Moscato,"
												90%
										",2,近期售出数 4861,268,"
																白葡萄酒 半甜白","
																100%麝香(Muscat/Moscato)",  ,"
																澳大利亚(Australia) 东南澳(South Eastern Australia)",  ,  ,"
																750ml","
																百香果、哈密瓜、新鲜压榨葡萄果子的香气。","
																浅草绿色","
																中低","
																清爽","
																获得2012年旧金山国际葡萄酒大奖赛铜奖；获得2012年悉尼国际葡萄酒大奖赛Blue-Gold奖；获得2012年达拉斯葡萄酒大奖赛银奖。","
																白肉、色拉、前菜","
																无",6230885
30,"
								*贝尔莱老藤干红葡萄酒（里奥哈）*",Beronia Vina Vejas,"
												90%
										",63,近期售出数 2734,328,"
											红葡萄酒 干红","
											100%丹魄(Tempranillo)","
											2010","
											西班牙(Spain) 里奥哈(Rioja)","
											里奥哈 D.O.Ca.","
											14%","
											750ml","
											肉味、欧亚甘草","
											紫色","
											中","
											平衡","
											即开即饮","
											火腿、烤肉、芝士","
											10个月",5186475
31,"
								*贝尔莱马德斯佳酿干红葡萄酒（里奥哈）2013*",Beronia Dos Maderas Crianza,"
												100%
										",8,近期售出数 7626,388,"
											红葡萄酒 干红",  ,  ,"
											西班牙(Spain) 里奥哈(Rioja)",  ,  ,  ,"
											红果、樱桃、树莓、甘草、可可和巧克力",  ,"
											中高","
											饱满",  ,"
											红肉类食物、意大利面食",  ,6227967
32,"
								铁臂雷米圣鸭赤霞珠干红葡萄酒整箱6支装",  ,"
												100%
										",0,近期售出数 5,238,"
																红葡萄酒 干红","
																赤霞珠",  ,"
																法国(France) 罗纳河谷(Rhone Valley)",  ,"
																13.5%","
																750ml","
																黑醋栗、黑莓、青椒","
																宝石红色","
																中","
																平衡","
																30分钟","
																鸭肉",  ,6236653
33,"
								拉菲尚品波尔多红葡萄酒2支尊享装",  ,"
												100%
										",1,近期售出数 21,189,"
																其他酒具 其他酒具","
																赤霞珠(Cabernet Sauvignon),美乐(Merlot),品丽珠(Cabernet Franc)","
																白卡纸","
																中国","
																AOC","
																13.0%","
																750ml","
																黑醋栗","
																深紫色","
																中高","
																饱满","
																30分钟","
																红肉、烧烤","
																无",6218889
34,"
								澳洲奔富BIN8赤霞珠西拉子红葡萄酒 奔富酒园 澳大利亚进口红酒 750mlx6 整箱红酒",  ,"
												80%
										",1,近期售出数 111,1249,"
																红葡萄酒 干红","
																赤霞珠(Cabernet Sauvignon),西拉/设拉子(Syrah/Shiraz)",  ,"
																澳大利亚(Australia) 南澳(South Australia)",  ,  ,"
																750ml","
																黑梅、樱桃","
																深紫色","
																中高","
																饱满","
																30分钟","
																奶酪、肉类、牛扒","
																无",6218217
35,"
								布鲁诺罗卡酒庄福禄朗格山内比奥罗干红葡萄酒750ML",  ,"
												100%
										",0,近期售出数 33,269,"
											红葡萄酒 干红","
											100%内比奥罗",  ,"
											意大利(Italy) 皮埃蒙特(Piemonte)","
											DOC","
											0.145","
											750","
											树莓和黑莓","
											宝石红",  ,"
											饱满",  ,  ,"
											8-12个月",6232323
36,"
								迪仙庄园副牌干红葡萄酒2012(名庄)",Blason D'Issan 2012,"
												100%
										",0,近期售出数 148,299,"
											红葡萄酒 干红","
											赤霞珠(Cabernet Sauvignon)、美乐(Merlot)、品丽珠(Cabernet Franc)",  ,"
											法国(France) 波尔多(Bordeaux)","
											三级庄副牌",  ,"
											750ML",  ,  ,  ,"
											饱满",  ,"
											红肉类食物","
											16-18个月",6230337
37,"
								 纷赋酒庄黄牌霞多丽750ml*2",Wolf Blass Yellow Lable Chardonnay,"
												100%
										",0,近期售出数 182,136,"
																白葡萄酒 干白","
																100%霞多丽",  ,"
																澳大利亚(Australia) 南澳(South Australia)","
																澳大利亚优质酒庄","
																13.0%","
																750ml","
																桃子、橡木","
																柠檬黄色","
																中低","
																清爽","
																即开即饮","
																海鲜、水果","
																在法国和美国橡木桶中陈酿",6233134
38,"
								艾拉贝拉赤霞珠干红葡萄酒—6支装",  ,"
												100%
										",0,近期售出数 277,298,"
																红葡萄酒 干红","
																100%赤霞珠(Cabernet Sauvignon)",  ,"
																南非(South Africa) 西开普产地(Western Cape)","
																南非优质酒庄","
																13.0%","
																750毫升","
																黑醋栗，樱桃，香草","
																宝石红色","
																重","
																饱满","
																2010年份：Old Mutual Trophy葡萄酒大奖赛2011－铜奖；2008年份米开朗基罗2009－金奖；2007年份瑞士国际航线2008-认可封印；2007年份2008年《葡萄酒》杂志－最超值葡萄酒款。","
																与红肉、烧烤以及烤蔬菜一起享用",  ,6235690
39,"
								百德克古堡特级干红2009",  ,"
												100%
										",0,近期售出数 222,368,"
											红葡萄酒 干红","
											68%赤霞珠(Cabernet Sauvignon),32%美乐(Merlot)",  ,"
											法国(France) 波尔多(Bordeaux)","
											1855列级酒庄5级庄所属","
											0.125","
											750ml","
											黑梅、樱桃","
											深紫色","
											中高","
											饱满","
											60分钟","
											红肉类食物","
											18月",6226955
40,"
								桃乐丝格兰公牛血金标干红葡萄酒-3支装（原特选公牛血金标）",  ,"
												100%
										",0,近期售出数 396,684,"
																红葡萄酒 干红","
																60%歌海娜(Grenache/Granacha),25%佳丽酿(Carignan),15%西拉/设拉子(Syrah/Shiraz)",  ,"
																西班牙(Spain) 加泰罗尼亚(Catalonia)","
																优质原产地葡萄酒D.O","
																14%","
																750ml","
																黑莓、香料、碳烤","
																深红宝石","
																重","
																饱满","
																45分钟","
																可与辣味、甜味、以及酸味的各类食物完美搭配，都会有令人赞叹的表现。","
																12个月",6232275
41,"
								【名庄】拉拉贡干红2012（又名朗丽湖）",Chateau La Lagune 2012,"
												100%
										",2,近期售出数 693,488,"
											红葡萄酒 干红","
											赤霞珠 (Cabernet Sauvignon),美乐(Merlot),小维多(Petit Verdot)",  ,"
											法国(France) 波尔多(Bordeaux)","
											波尔多梅多克1855分级列级酒庄之3级（3rd of 1st GCC en 1855）","
											13%","
											750ml","
											清新果香 黑莓 橡木香","
											深红色","
											中高","
											圆润","
											60分钟","
											肉类、芝士、鹅肝","
											12-18个月",6204628
42,"
								香内哥伦吧长相思白葡萄酒750ml6支装",  ,"
												100%
										",0,近期售出数 5189,1008,"
																白葡萄酒 干白","
																白玉霓/棠比内洛(Ugni Blanc/Trebbiano)鸽笼白(Colombard/Columber)","
																0000","
																法国(France) 西南产区(Sud-Ouest)","
																VDF","
																11.50%","
																750mL","
																白梨，桃子和白色花朵的香气","
																淡黄色酒体中闪耀着绿色光芒","
																中低","
																清爽","
																2007年份获得2008年国家地区餐酒大赛银奖","
																完美搭配鱼类，贝类和海鲜。作为开胃酒或在酒吧里饮用也同样出色","
																否",6232306
43,"
								拉丁神话赤霞珠红葡萄酒",Latin Vid Cabernet Sauvignon,"
												100%
										",0,近期售出数 10,158,"
											红葡萄酒 干红","
											100%赤霞珠(Cabernet Sauvignon)","
											2014","
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											13.0%","
											750ml","
											樱桃、覆盆子、莓果的新鲜果香","
											宝石红","
											中","
											饱满","
											15分钟","
											奶酪及各种肉类","
											3个月",6212385
44,"
								飞龙世家干红葡萄酒2014（香港免税价）",Phelan Segur 2014,"
												100%
										",0,近期售出数 10,212,"
											红葡萄酒 干红","
											赤霞珠(cabernet sauvignon)，美乐(merlot)",  ,"
											法国(France) 波尔多(Bordeaux)",  ,"
											13.5%","
											750ml",  ,"
											深红色","
											中高","
											饱满","
											60分钟","
											牛排、烤乳猪、肉末意大利面等","
											12-18个月",6212969
45,"
								霸王花起泡四支组合装",  ,"
												100%
										",1,近期售出数 57,352,"
																起泡酒 半甜型起泡酒","
																朗布罗斯科格斯帕罗萨(Lambrusco Grasparossa),朗布罗斯科萨拉米诺(Lambrusco Salamino),朗布罗斯科索巴拉(Lambrusco Sorbara)","
																0000","
																意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","
																DOC","
																9.5%","
																750ml","
																紫罗兰的芳醇","
																深紫色","
																轻","
																饱满","
																即开即饮","
																红肉类食物及甜点","
																无",6235336
46,"
								梅纳德茶色波特酒750ML(又名茶色波特酒梅纳德）",  ,"
												100%
										",0,近期售出数 15,158,"
											加强葡萄酒 波特酒","
											弗兰克多瑞加(Touriga Franca),罗丽红(Tinta Roriz),廷塔阿玛瑞拉(Tinta Amarela)",  ,"
											葡萄牙(Portugal) 杜罗(Douro)",  ,"
											0.195","
											750","
											香草、焦糖","
											石榴红","
											重","
											饱满",  ,  ,  ,6233919
47,"
								乐度堡特级干红 2008",  ,"
												100%
										",0,近期售出数 545,688,"
											红葡萄酒 干红","
											20%赤霞珠(Cabernet Sauvignon),80%美乐(Merlot)",  ,"
											法国(France) 波尔多(Bordeaux)","
											圣爱美隆列级庄","
											0.13","
											750ml","
											黑梅、樱桃","
											深紫色","
											中高","
											饱满","
											60分钟","
											红肉类食物","
											12月",6226956
48,"
								拉丁神话长相思白葡萄酒",Latin Vid Sauvignon Blanc,"
												100%
										",0,近期售出数 16,72,"
											白葡萄酒 干白","
											100%长相思(Sauvignon Blanc)","
											2014","
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											12.5%","
											750ml","
											果香、花香","
											金黄色","
											中","
											清雅","
											即开即饮","
											海鲜及沙拉","
											3个月",6212386
49,"
								印迹酒园爱神符号干白葡萄酒2010",Zonte's Footstep Love Symbol Sauvignon Blanc Langhorne Creek 2010,"
												70%
										",15,近期售出数 501,168,"
											白葡萄酒 干白","
											100%白苏维翁(Sauvignon Blanc)","
											0000","
											澳大利亚(Australia) 南澳(South Australia)","
											澳大利亚优质酒庄","
											12.0%","
											750ml","
											茉莉、蜜瓜、柑橘、核果","
											淡黄色","
											轻","
											清爽","
											即开即饮","
											意大利面、色拉、鸡肉,鱼类，白肉，龙虾，牡蛎等菜肴","
											无",5151186
50,"
								【名庄】碧尚男爵堡干红葡萄酒2010",Chateau Pichon Baron  2010,  ,  ,  ,  ,"
											红葡萄酒 干红","
											60%赤霞珠(Cabernet Sauvignon)35%梅洛(Merlot)4%嘉本纳弗朗(Cabernet Franc)1%小维尔多(Petit Verdot)","
											2010","
											法国(France) 波尔多(Bordeaux)","
											二级城堡(2nd G C C)","
											13.0%","
											750ml","
											植物鲜花的芳香为主，夹杂这黑加仑子和紫罗兰，甘草和肉桂","
											深宝石红","
											中高","
											圆润","
											90分钟","
											西餐搭配：红肉，红肉野味，肥鹅肝，蘑菇餐；同样也可以搭配奶酪，如圣耐克泰尔 Saint Nectaire ，依丹Edam，高达Gouda。中餐搭配：烧鸭，烧鹅，羊扒，烤乳鸽，椒盐虾蟹类，风干和烟熏肉类，香肠，腊味，红烧鱼，广东扣肉，东坡肉，南京酱鸭，红酒烩鸡，牛仔扒，炒腰花，肥叉烧，铁板烧鸡，中味奶酪等。","
											16-24个月",5176653
51,"
								*弗尔拉德宫迟采雷司令甜白葡萄酒*",SCHLOSS VOLLRADS RIESLING Spaetlese,"
												100%
										",6,近期售出数 168,599,"
											白葡萄酒 甜白","
											100%雷司令(Riesling)",  ,"
											德国(Germany) 莱茵高(Rheingau)","
											Spaetlese","
											0.075","
											750ml","
											桃花、覆盆子和金银花香气四溢，又带有丝丝的苹果花香","
											清澈","
											中低","
											清爽","
											Wine Enthusiast, 93分，Editors' Choice Falstaff Wine guide 2016, 88分                         The Drinks Business Magazine, 铜奖                 Gault Milau, 88分","
											本款酒很适合搭配辛辣食品或者加勒比、墨西哥或亚洲菜肴。","
											无",6230617
52,"
								波尔多侯爵干红葡萄酒 - 双支礼盒",  ,"
												80%
										",7,近期售出数 464,258,"
																礼盒 礼盒","
																65% merlot, 35% Cabernet Franc","
																混合","
																中国",  ,"
																13.5%","
																750 ml","
																红色水果香气，黑莓，樱桃，黑加仑等","
																深红色","
																中高","
																平衡","
																世界顶级侍酒师Olivier Poussier鼎力推荐","
																红烧肉，羊排，牛肉等","
																9个月",6223326
53,"
								【清仓】小企鹅霞多丽白葡萄酒",  ,"
												90%
										",8,近期售出数 323,178,"
											白葡萄酒 干白","
											霞多丽(Chardonnay)","
											2012","
											澳大利亚(Australia) 东南澳(South Eastern Australia)",  ,"
											11.5%","
											750ml","
											略带辛香气的热带水果和柑橘香味带来的视觉和味觉的双重享受","
											麦杆色",  ,"
											清雅","
											即开即饮","
											鱼、贝类、白肉、沙拉","
											无",5190954
54,"
								（香港提货）克里奈庄园干红葡萄酒2017期酒",Clinet 2017 HK Pick Up,"
												100%
										",0,近期售出数 5,518,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,"
											中高","
											饱满",  ,  ,  ,6238513
55,"
								（香港提货）莱斯古堡甜白葡萄酒2017期酒",Rieussec 2017 HK Pick Up,"
												100%
										",0,近期售出数 3,390,"
											白葡萄酒 贵腐酒",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,"
											圆润",  ,  ,  ,6238515
56,"
								张裕醉诗仙干红",  ,"
												100%
										",0,近期售出数 585,68,"
											红葡萄酒 干红",  ,  ,"
											中国(China) 山东(Shan Dong)",  ,  ,"
											750ML",  ,  ,  ,  ,  ,  ,  ,6232573
57,"
								西施西里红葡萄酒黑达沃拉",settesoli nero d avola DOC,"
												90%
										",10,近期售出数 150,69,"
											红葡萄酒 干红","
											100%黑达沃拉(Nero d'Avola)","
											0000","
											意大利(Italy) 西西里岛(Sicilia)","
											DOC","
											13.0%","
											750ml","
											胡椒，黑莓，李子","
											宝石红","
											中","
											平衡","
											15-20分钟","
											适合与香肠、烤肉、炖土豆、半成熟奶酪搭配饮用。",  ,6208362
